Team,Payroll,Payroll.millions,Wins
Arizona Diamondbacks ,73571667,73.572,70
Atlanta Braves ,96726167,96.726,86
Baltimore Orioles,67101667,67.102,64
Boston Red Sox  ,122696000,122.696,95
Chicago Cubs ,135050000,135.05,83
Chicago White Sox ,96068500,96.069,79
Cincinnati Reds,70968500,70.969,78
Cleveland Indians,81625567,81.626,65
Colorado Rockies ,75201000,75.201,92
Detroit Tigers,115085145,115.085,86
Florida Marlins,36814000,36.814,87
Houston Astros  ,102996415,102.996,74
Kansas City Royals,70908333,70.908,65
Los Angeles Angels  ,113709000,113.709,97
Los Angeles Dodgers ,100458101,100.458,95
Milwaukee Brewers ,79857502,79.858,80
Minnesota Twins ,65299267,65.299,87
New York Mets  ,135773988,135.774,70
New York Yankees ,201449289,201.449,103
Oakland Athletics,62310000,62.31,75
Philadelphia Phillies,113004048,113.004,93
Pittsburgh Pirates ,48743000,48.743,62
San Diego Padres,42796700,42.797,75
San Francisco Giants,82161450,82.161,88
Seattle Mariners ,98904167,98.904,85
St. Louis Cardinals ,88528411,88.528,91
Tampa Bay Devil Rays ,63313035,63.313,84
Texas Rangers,68646023,68.646,87
Toronto Blue Jays ,80993657,80.994,75
Washington Nationals,59328000,59.328,59
